web-scraper-order,web-scraper-start-url,Title,ShortBio,TarAmount,Status,RaisedAmount,StartTime,EndTime,Organizer
"1699811003-1","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A6%87%E5%A5%B3&p=500","为凉山孩子筹心灯","为四川大凉山布拖县的孩子们众筹能照亮黑暗的心灯","381774","项目状态:已结束","96052.51","2015-05-29","2015-11-10","中国妇女发展基金会"
"1699811003-2","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A6%87%E5%A5%B3&p=500","为特困家庭送种羊","捐赠1只种羊，2-3年就可以为家庭带来稳定的收入。","73600","项目状态:已结束","67367.31","2015-08-26","2015-09-07","中国妇女发展基金会"
"1699811003-3","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A6%87%E5%A5%B3&p=500","为孤儿寡母建新房","帮助卢日里一家重新建造将要垮塌的房屋，让她们有个安全的家。","105540","项目状态:已结束","383.59","2015-08-26","2015-11-26","中国妇女发展基金会"
"1699811003-4","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A6%87%E5%A5%B3&p=500","帮助天津创业妈妈","39元就能让她们通过劳动获得一份收入，送去暖暖的爱","50000","项目状态:已结束","2267.04","2015-12-11","2016-03-11","中国妇女发展基金会"
"1699811003-5","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A6%87%E5%A5%B3&p=500","为乡村母亲筹热水器","为高台子村40位贫困家庭配备热水器","100000","项目状态:已结束","2436.01","2015-12-23","2016-03-23","中国妇女发展基金会"
"1699811003-6","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A6%87%E5%A5%B3&p=500","黄河滩区的六一礼物","为濮阳县黄河滩区儿童送节日礼物","94240","项目状态:已结束","2386.25","2016-05-23","2016-08-23","中国妇女发展基金会"
"1699811003-7","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A6%87%E5%A5%B3&p=500","藏区新生儿关爱包","通过提供必需的婴儿包降低新生儿低体温现象，降低婴儿死亡率。","150000","项目状态:已结束","10986.62","2015-08-27","2015-11-27","中国妇女发展基金会"
"1699811003-8","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A6%87%E5%A5%B3&p=500","爱她安家助学计划","帮藏族孤贫儿童安家、自强，成长为传播民族文化的小使者","1416215","项目状态:已结束","30048.98","2016-08-31","2016-12-01","中国妇女发展基金会"
"1699811003-9","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A6%87%E5%A5%B3&p=500","为万福小学送餐桌","为湖南万福乡万福小学筹集20套餐桌，提供更好的生活环境","11600","项目状态:已结束","1751.44","2015-12-10","2016-03-10","中国妇女发展基金会"
"1699811003-10","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A6%87%E5%A5%B3&p=500","给14岁生命更多可能","身患白血病，家庭贫困，手术费惊人，她需要你我的帮助！","150000","项目状态:已结束","4606","2016-07-06","2016-08-16","中国妇女发展基金会"
"1699811006-11","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A6%87%E5%A5%B3&p=499","燕罗微公益行动","汇聚燕罗爱心，助力困境家庭","30000","项目状态:执行中","10238.21","2021-08-17","2023-06-30","深圳市宝安区妇女儿童福利会"
