web-scraper-order,web-scraper-start-url,Title,ShortBio,TarAmount,Status,RaisedAmount,StartTime,EndTime,Organizer
"1699813931-1","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=49","帐篷里的尊严","为尼泊尔默默遭受着性侵的女性发声。一顶帐篷，让我们为她搭起尊严的堡垒。","21000","项目状态:已结束","21008.64","2015-08-14","2015-08-16","刘洽闻"
"1699813931-2","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=49","下岗妈妈手工布艺坊","授之以鱼不如授之以渔！教授失业女性学习手工布艺技能，获得一份谋生的技能","41000","项目状态:已结束","12452.5","2015-08-25","2015-11-25","深圳市如是布艺制作交流中心"
"1699813931-3","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=49","困境母亲两癌救助","一份爱心帮助困境两癌母亲，呵护母亲健康。","540000","项目状态:执行中","540245.54","2022-08-13","2022-09-07","河北省女性德孝文化促进会"
"1699813931-4","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=49","帮助乡村文艺队","改善乡村环境，为振兴乡村文艺队伍解难题。","300000","项目状态:执行中","1238.13","2023-07-31","2023-10-08","河北省女性德孝文化促进会"
"1699813931-5","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=49","困境老人营养午餐","为10位困境老人提供160天的营养午餐","8000","项目状态:已结束","8003.72","2017-07-07","2017-07-12","北京益创乡村女性公益事业发展中心"
"1699813934-6","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=48","预防两癌从筛查做起","我们呼吁所有女性为了自己、家人和朋友定期做健康检查","","项目状态:已结束","413482.25","2016-02-26","2016-05-26","中国妇女发展基金会"
"1699813934-7","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=48","粉红女郎远离亚健康","女性亚健康对心理、生理的影响，有效防治是我们所关心的。","310810","项目状态:已结束","141150.01","2016-08-11","2016-09-09","上海希之星公益发展中心"
"1699813934-8","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=48","刺出精彩绣美人生","引导带动重度残疾女性开展非遗刺绣辅助性就业工作。","50000","项目状态:已结束","3639.8","2022-08-22","2023-12-31","安徽省红十字基金会"
"1699813934-9","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=48","致敬抗疫一线女性","疫情之下，为抗疫一线的女性送上150份安全防护暖心包","24050","项目状态:执行中","1098.93","2022-02-25","2022-03-22","成都公益慈善联合会"
"1699813934-10","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=48","爱心Beauty义卖会","单亲妈妈、失业女性等弱势群体，在就业路上障碍重重。关注弱势女性再就业的公益人菅蕾找到南都“每人计”，希望众筹服装义卖会。","13700","项目状态:已结束","13711.15","2014-11-03","2014-12-18","深圳市阳光爱女性形象研究中心"
"1699813934-11","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=48","榴心赋能她力量","计划从多方面开展服务，支持残障女性探索丰富多彩的生活。","50000","项目状态:已结束","50006.65","2023-06-21","2023-12-31","镇江市润州区和平路街道紫石榴爱心公益服务社"
"1699813934-12","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=48","关爱血友公益健步","倡导全民健康，关注血友病群体和与患者共同生活的女性","65581","项目状态:已结束","1002.23","2017-04-07","2017-07-07","南昌市血之友公益协会"
"1699813934-13","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=48","女性健康万里行","两癌预防从筛查做起。救助一个妇女，挽救一个家庭。","1574400","项目状态:已结束","15693.35","2016-08-18","2016-11-18","浙江省妇女儿童基金会"
"1699813934-14","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=48","红十字女性两癌救助","为英山县困境家庭患有乳腺癌或宫颈癌妇女提供医疗救助。","40000","项目状态:已结束","6810.54","2023-08-04","2023-10-21","湖北省红十字基金会"
"1699813934-15","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=48","为艾滋宝宝捐赠奶粉","为HIV感染者通过母婴阻断所生出的艾宝宝筹集奶粉，让他们也能够健康成长！","135000","项目状态:已结束","7822.91","2015-08-29","2015-11-29","女性抗艾网络-中国"
"1699813937-16","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=47","女性公益人木棉计划","为女性公益领导人提供能力提升及网络建设，助力妇儿组织发展，促进社会平等","169300","项目状态:已结束","4273.27","2015-08-03","2015-10-04","广东人文学会"
"1699813937-17","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=47","我也要做独立女性","培养一个好女孩，造就一个好母亲，兴旺一个好家庭！","361700","项目状态:已结束","2512.6","2015-09-01","2015-12-01","上海百特教育咨询中心"
"1699813937-18","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=47","关爱女性呵护健康","提供妇女健康服务，增强女性的健康意识，保障妇女的安全。","293750","项目状态:执行中","41196.55","2023-08-01","2023-09-16","广西红十字基金会"
"1699813937-19","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=47","为她筑梦与爱同行","每个爱心邮包，为困境女性营造健康、和谐的环境。","50040","项目状态:已结束","116.32","2023-10-19","2023-10-23","北京市东城区平安枫景社会服务中心"
"1699813937-20","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=47","职场妈妈关爱行动","赋能女性自我关爱，增强家庭支持，保护职场妈妈权益","60000","项目状态:执行中","1057.34","2022-08-17","2022-10-11","深圳市慈善会"
"1699813937-21","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=47","女性两癌筛查行动","219元一人次两癌筛查计划，为城乡适龄女性献出一份爱心","470960","项目状态:执行中","1972.51","2022-08-18","2022-09-09","江西省红十字基金会"
"1699813937-22","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=47","帮助女性恢复健康","是母亲也是妻子，一起帮助贫穷地区受病痛折磨的女性吧。","327500","项目状态:已结束","231013.15","2016-03-08","2016-09-30","Watsi"
"1699813937-23","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=47","关爱女性 远离两癌","为赣榆区2位患“两癌”的城乡低收入妇女筹集善款。","20000","项目状态:执行中","5042.44","2022-08-22","2022-12-31","连云港市红十字会"
"1699813937-24","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=47","助“她”重燃希望","对困难女性患者就医给予救助，帮其获得及时有效治疗","50000","项目状态:执行中","40124.21","2022-08-22","2022-09-09","吉林省慈善总会"
"1699813937-25","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=47","益起绽放困境妇女","促进“4050”困境女性更好的融入社会，从观念上改变自我。","125000","项目状态:执行中","46960.45","2020-07-30","2021-01-17","益起绽放志愿团体"
"1699813940-26","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=46","茶韵雅致女性","帮助社区待就业女性学习茶艺技能，解决就业问题。","143100","项目状态:已结束","411.31","2017-05-04","2017-08-04","中社社会工作发展基金会"
"1699813940-27","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=46","“阳光女性”合作坊","帮助妈妈找到自信，重现自我，居家创收，留住妈妈的爱！","104211","项目状态:已结束","911.27","2017-05-03","2017-08-03","重庆春语社会工作服务中心"
"1699813940-28","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=46","流动女性生殖健康","关注社区流动妇女，促进流动妇女生殖健康的改善。","54992","项目状态:已结束","4351.82","2016-08-30","2016-11-30","深圳市罗湖区半枝莲同城姐妹关爱中心"
"1699813940-29","https://gongyi.qq.com/succor/project_list.htm#s_status=1&s_tid=73&s_key=%E5%A5%B3%E6%80%A7&p=46","县乡女性支持计划","助力县域及乡村女性个人发展，帮助她们提升个人竞争力","242120","项目状态:执行中","8268.96","2022-08-16","2023-07-01","成都市社会组织乡村振兴联盟"
